entry_date,expiry_date,etf_entry,iv,ivr,rsi,bbu,filter_passed,filter_would_pass,call_offsets,put_offsets,num_contracts,total_premium,total_net_rmb,put_filled,put_fill_time,put_exec_px,put_limit_px,put_trigger_val,Call_Leg_A_(OTM2)_contract,Call_Leg_A_(OTM2)_K,Call_Leg_A_(OTM2)_side,Call_Leg_A_(OTM2)_exec_px,Call_Leg_A_(OTM2)_premium,Call_Leg_A_(OTM2)_exercise,Call_Leg_A_(OTM2)_net,Call_Leg_A_(OTM2)_note,Call_Leg_B_(OTM3)_contract,Call_Leg_B_(OTM3)_K,Call_Leg_B_(OTM3)_side,Call_Leg_B_(OTM3)_exec_px,Call_Leg_B_(OTM3)_premium,Call_Leg_B_(OTM3)_exercise,Call_Leg_B_(OTM3)_net,Call_Leg_B_(OTM3)_note,Put_Buy____(Level_1)_contract,Put_Buy____(Level_1)_K,Put_Buy____(Level_1)_side,Put_Buy____(Level_1)_exec_px,Put_Buy____(Level_1)_premium,Put_Buy____(Level_1)_exercise,Put_Buy____(Level_1)_net,Put_Buy____(Level_1)_note
2021-11-25,2021-12-22,4.978,0.1363,0.2134,52.31,5.0152,True,True,2+3,1+1,1,-468.58,-474.58,False,,0.0595,0.0426,-0.054,10003395,5.25,sell,0.0104,103.88,0.0,101.88,expires_worthless,10003396,5.5,sell,0.0023,22.54,0.0,20.54,expires_worthless,10003402,4.9,buy,0.0595,-595.0,0.0,-597.0,expires_worthless
2021-12-23,2022-01-26,5.02,0.1452,0.2658,50.63,5.1872,True,True,2+3,1+1,1,-678.27,2255.13,True,2021-12-23 09:40:00,0.0753,0.0753,-0.0614,10003733,5.5,sell,0.0052,51.94,0.0,49.94,expires_worthless,10003734,5.75,sell,0.0023,22.54,0.0,20.54,expires_worthless,10003740,5.0,buy,0.0753,-752.75,2940.0,2184.65,exercised ETF=4.7060 K=5.0000
2022-01-27,2022-02-23,4.625,0.1935,0.6414,30.45,5.0557,True,True,2+3,1+1,1,-139.49,-145.49,False,,0.1315,0.0494,-0.0144,10003916,4.7,sell,0.0633,633.08,0.0,631.08,expires_worthless,10003861,4.726,sell,0.0534,542.43,0.0,540.43,expires_worthless,10003924,4.6,buy,0.1315,-1315.0,0.0,-1317.0,expires_worthless
2022-02-24,2022-03-23,4.53,0.1613,0.4202,36.23,4.7651,True,True,2+3,1+1,1,97.97,2691.31,True,2022-02-24 09:35:00,0.0518,0.0518,-0.0142,10003552,4.628,sell,0.0398,404.09,0.0,402.09,expires_worthless,10003934,4.7,sell,0.022,219.52,0.0,217.52,expires_worthless,10003560,4.529,buy,0.0518,-525.63,2599.94,2071.7,exercised ETF=4.2730 K=4.5290
2022-03-24,2022-04-27,4.246,0.1302,0.1398,41.28,4.6747,True,True,2+3,1+1,1,-534.44,2568.96,True,2022-03-24 11:15:00,0.0907,0.0907,-0.0217,10004055,4.4,sell,0.0257,256.76,0.0,254.76,expires_worthless,10004056,4.5,sell,0.0116,115.64,0.0,113.64,expires_worthless,10004062,4.2,buy,0.0907,-906.84,3110.0,2200.56,exercised ETF=3.8890 K=4.2000
2022-04-28,2022-05-25,3.915,0.2208,0.5619,37.01,4.3976,True,True,2+3,1+1,1,-789.34,-795.34,True,2022-04-28 09:45:00,0.1165,0.1165,-0.0523,10004183,4.1,sell,0.0257,256.76,0.0,254.76,expires_worthless,10004184,4.2,sell,0.0119,118.58,0.0,116.58,expires_worthless,10004190,3.9,buy,0.1165,-1164.68,0.0,-1166.68,expires_worthless
2022-05-26,2022-06-22,3.992,0.1746,0.3466,47.64,4.0924,True,True,2+3,1+1,1,7.46,-2798.54,True,2022-05-26 11:30:00,0.0508,0.0508,-0.104,10004031,4.1,sell,0.0359,358.68,-1900.0,-1543.32,assigned  ETF=4.2900 K=4.1000,10004015,4.2,sell,0.0157,156.8,-900.0,-745.2,assigned  ETF=4.2900 K=4.2000,10004093,3.9,buy,0.0508,-508.02,0.0,-510.02,expires_worthless
2022-06-23,2022-07-27,4.365,0.1835,0.3882,66.33,4.4289,False,False,,1+1,1,-893.68,-656.28,True,2022-06-23 13:35:00,0.0894,0.0894,-0.2098,,,,,,,,,,,,,,,,,10004315,4.3,buy,0.0894,-893.68,240.0,-656.28,exercised ETF=4.2760 K=4.3000
2022-07-28,2022-08-24,4.279,0.1741,0.3443,44.03,4.5393,True,True,2+3,1+1,1,63.27,606.67,True,2022-07-28 09:35:00,0.0465,0.0465,-0.0701,10004364,4.4,sell,0.0359,358.68,0.0,356.68,expires_worthless,10004365,4.5,sell,0.017,169.54,0.0,167.54,expires_worthless,10004371,4.2,buy,0.0465,-464.95,550.0,82.45,exercised ETF=4.1450 K=4.2000
2022-08-25,2022-09-28,4.181,0.1549,0.2028,43.67,4.2927,True,True,2+3,1+1,1,-84.38,1979.02,True,2022-08-25 14:35:00,0.0586,0.0586,-0.138,10003993,4.3,sell,0.0353,352.8,0.0,350.8,expires_worthless,10003994,4.4,sell,0.0149,148.96,0.0,146.96,expires_worthless,10004034,4.1,buy,0.0586,-586.14,2070.0,1481.26,exercised ETF=3.8930 K=4.1000
2022-09-29,2022-10-26,3.894,0.1817,0.2816,29.81,4.2195,True,True,2+3,1+1,1,210.16,1043.56,True,2022-09-29 09:50:00,0.0292,0.0292,-0.0801,10004478,4.0,sell,0.0351,350.84,0.0,348.84,expires_worthless,10004479,4.1,sell,0.0151,150.92,0.0,148.92,expires_worthless,10004485,3.8,buy,0.0292,-291.6,840.0,545.8,exercised ETF=3.7160 K=3.8000
2022-10-27,2022-11-23,3.69,0.2055,0.41,29.21,3.9939,True,True,2+3,1+1,1,228.13,-117.87,True,2022-10-27 09:35:00,0.0338,0.0338,-0.0137,10004616,3.8,sell,0.0392,392.0,-340.0,50.0,assigned  ETF=3.8340 K=3.8000,10004617,3.9,sell,0.0174,174.44,0.0,172.44,expires_worthless,10004623,3.6,buy,0.0338,-338.31,0.0,-340.31,expires_worthless
2022-11-24,2022-12-28,3.816,0.211,0.4397,48.31,3.9808,True,True,2+3,1+1,1,-108.12,-114.12,True,2022-11-24 09:35:00,0.0628,0.0628,-0.0346,10004260,4.0,sell,0.0343,343.0,0.0,341.0,expires_worthless,10004261,4.1,sell,0.0176,176.4,0.0,174.4,expires_worthless,10004267,3.8,buy,0.0628,-627.52,0.0,-629.52,expires_worthless
2022-12-29,2023-01-30,3.922,0.1614,0.1691,48.96,4.0803,True,True,2+3,1+1,1,-322.8,-1428.8,True,2022-12-29 10:55:00,0.0559,0.0559,-0.0821,10004804,4.1,sell,0.0172,172.48,-1050.0,-879.52,assigned  ETF=4.2050 K=4.1000,10004805,4.2,sell,0.0064,63.7,-50.0,11.7,assigned  ETF=4.2050 K=4.2000,10004811,3.9,buy,0.0559,-558.98,0.0,-560.98,expires_worthless
2023-01-31,2023-02-22,4.159,0.1755,0.2453,66.55,4.2522,False,False,,1+1,1,-397.23,-34.18,True,2023-01-31 09:35:00,0.0391,0.0391,-0.0223,,,,,,,,,,,,,,,,,10004973,4.135,buy,0.0391,-397.23,365.65,-34.18,exercised ETF=4.0990 K=4.1350
2023-02-23,2023-03-22,4.099,0.168,0.2046,50.29,4.214,True,True,2+3,1+1,1,555.65,995.96,True,2023-02-23 09:35:00,0.0425,0.0425,-0.0915,10004426,4.135,sell,0.0602,611.17,0.0,609.17,expires_worthless,10005056,4.2,sell,0.0376,376.32,0.0,374.32,expires_worthless,10004434,4.037,buy,0.0425,-431.83,446.91,12.47,exercised ETF=3.9930 K=4.0370
2023-03-23,2023-04-26,4.031,0.1513,0.1143,50.59,4.1451,True,True,2+3,1+1,1,-407.76,75.64,True,2023-03-23 10:25:00,0.0657,0.0657,-0.1698,10005206,4.2,sell,0.0183,183.26,0.0,181.26,expires_worthless,10005207,4.3,sell,0.0066,65.66,0.0,63.66,expires_worthless,10005213,4.0,buy,0.0657,-656.68,490.0,-169.28,exercised ETF=3.9510 K=4.0000
2023-04-27,2023-05-24,3.986,0.1453,0.0628,41.54,4.1841,True,True,2+3,1+1,1,-63.11,390.29,True,2023-04-27 10:25:00,0.0358,0.0358,-0.1474,10005284,4.1,sell,0.0223,223.44,0.0,221.44,expires_worthless,10005285,4.2,sell,0.0072,71.54,0.0,69.54,expires_worthless,10005291,3.9,buy,0.0358,-358.09,460.0,99.31,exercised ETF=3.8540 K=3.9000
2023-05-25,2023-06-28,3.845,0.1585,0.177,31.95,4.0732,True,True,2+3,1+1,1,34.38,28.38,True,2023-05-26 13:30:00,0.0529,0.0529,-0.0996,10004704,3.938,sell,0.0361,366.3,0.0,364.3,expires_worthless,10005072,4.0,sell,0.0206,205.8,0.0,203.8,expires_worthless,10004712,3.84,buy,0.0529,-537.72,0.0,-539.72,expires_worthless
2023-06-29,2023-07-26,3.859,0.1455,0.0948,44.97,3.9706,True,True,2+3,1+1,1,-51.7,-57.7,True,2023-06-29 09:35:00,0.0272,0.0272,-0.0209,10005422,4.0,sell,0.0169,168.56,0.0,166.56,expires_worthless,10005423,4.1,sell,0.0052,51.94,0.0,49.94,expires_worthless,10005429,3.8,buy,0.0272,-272.2,0.0,-274.2,expires_worthless
2023-07-27,2023-08-23,3.972,0.1399,0.0537,58.68,3.9885,True,True,2+3,1+1,1,14.77,1328.17,True,2023-07-27 09:35:00,0.0238,0.0238,-0.0553,10005667,4.1,sell,0.0192,192.08,0.0,190.08,expires_worthless,10005668,4.2,sell,0.0061,60.76,0.0,58.76,expires_worthless,10005674,3.9,buy,0.0238,-238.07,1320.0,1079.33,exercised ETF=3.7680 K=3.9000
2023-08-24,2023-09-27,3.791,0.186,0.3929,34.19,4.1865,True,True,2+3,1+1,1,250.04,244.04,True,2023-08-24 09:45:00,0.0416,0.0416,-0.0869,10005124,3.9,sell,0.044,440.02,0.0,438.02,expires_worthless,10005125,4.0,sell,0.0226,226.38,0.0,224.38,expires_worthless,10005170,3.7,buy,0.0416,-416.36,0.0,-418.36,expires_worthless
2023-09-28,2023-10-25,3.764,0.1573,0.1815,41.06,3.9067,True,True,2+3,1+1,1,80.42,1383.82,True,2023-10-09 10:25:00,0.0221,0.0221,-0.0851,10005936,3.9,sell,0.0216,215.6,0.0,213.6,expires_worthless,10005937,4.0,sell,0.0086,86.24,0.0,84.24,expires_worthless,10005943,3.7,buy,0.0221,-221.42,1310.0,1085.98,exercised ETF=3.5690 K=3.7000
2023-10-26,2023-11-22,3.582,0.1568,0.1777,31.84,3.8727,True,True,2+3,1+1,1,-14.89,-20.89,True,2023-10-26 09:40:00,0.0294,0.0294,-0.1595,10006046,3.7,sell,0.0205,204.82,0.0,202.82,expires_worthless,10006047,3.8,sell,0.0074,74.48,0.0,72.48,expires_worthless,10006053,3.5,buy,0.0294,-294.19,0.0,-296.19,expires_worthless
2023-11-23,2023-12-27,3.63,0.1415,0.0654,43.93,3.6978,True,True,2+3,1+1,1,-268.82,1674.58,True,2023-11-23 13:50:00,0.0435,0.0435,-0.1722,10005349,3.8,sell,0.0122,121.52,0.0,119.52,expires_worthless,10005350,3.9,sell,0.0045,45.08,0.0,43.08,expires_worthless,10005356,3.6,buy,0.0435,-435.42,1950.0,1511.98,exercised ETF=3.4050 K=3.6000
2023-12-28,2024-01-24,3.489,0.1579,0.2296,52.05,3.5374,True,True,2+3,1+1,1,-53.49,1149.91,True,2023-12-28 09:45:00,0.0374,0.0374,-0.3262,10006295,3.6,sell,0.023,230.3,0.0,228.3,expires_worthless,10006296,3.7,sell,0.009,90.16,0.0,88.16,expires_worthless,10006302,3.4,buy,0.0374,-373.95,1210.0,833.45,exercised ETF=3.2790 K=3.4000
2024-01-25,2024-02-28,3.335,0.1542,0.1965,46.89,3.5137,True,True,2+3,1+1,1,-515.17,-735.66,True,2024-01-25 10:05:00,0.0945,0.0945,-0.1231,10006524,3.427,sell,0.0298,304.3,-214.49,87.8,assigned  ETF=3.4480 K=3.4270,10006658,3.5,sell,0.0146,146.02,0.0,144.02,expires_worthless,10006532,3.329,buy,0.0945,-965.48,0.0,-967.48,expires_worthless
2024-02-29,2024-03-27,3.503,0.1877,0.5008,64.08,3.5622,True,True,2+3,1+1,1,-132.71,-69.31,True,2024-02-29 10:15:00,0.0779,0.0779,-0.214,10006677,3.6,sell,0.0349,348.88,0.0,346.88,expires_worthless,10005784,3.622,sell,0.0291,297.29,0.0,295.29,expires_worthless,10006685,3.5,buy,0.0779,-778.88,70.0,-711.48,exercised ETF=3.4930 K=3.5000
2024-03-28,2024-04-24,3.51,0.1447,0.1098,50.4,3.6015,True,True,2+3,1+1,1,-442.17,-448.17,True,2024-03-28 10:20:00,0.055,0.055,-0.1101,10006940,3.7,sell,0.0078,78.4,0.0,76.4,expires_worthless,10006941,3.8,sell,0.0029,29.4,0.0,27.4,expires_worthless,10006947,3.5,buy,0.055,-549.97,0.0,-551.97,expires_worthless
2024-04-25,2024-05-22,3.523,0.1379,0.0756,50.49,3.5841,True,True,2+3,1+1,1,-357.7,-363.7,True,2024-04-25 10:30:00,0.045,0.045,-0.1039,10007059,3.7,sell,0.0068,67.62,0.0,65.62,expires_worthless,10007060,3.8,sell,0.0024,24.5,0.0,22.5,expires_worthless,10007066,3.5,buy,0.045,-449.82,0.0,-451.82,expires_worthless
2024-05-23,2024-06-26,3.643,0.1351,0.0514,55.38,3.7348,True,True,2+3,1+1,1,-233.0,1016.73,False,,0.0677,0.0369,-0.0169,10006191,3.72,sell,0.0314,320.31,0.0,318.31,expires_worthless,10006895,3.8,sell,0.0138,138.18,0.0,136.18,expires_worthless,10006199,3.622,buy,0.0677,-691.49,1256.32,562.23,exercised ETF=3.4990 K=3.6220
2024-06-27,2024-07-24,3.48,0.1328,0.0332,33.69,3.63,True,True,2+3,1+1,1,10.11,4.11,True,2024-06-28 09:35:00,0.0159,0.0159,-0.0622,10007354,3.6,sell,0.0136,136.22,0.0,134.22,expires_worthless,10007355,3.7,sell,0.0033,33.32,0.0,31.32,expires_worthless,10007361,3.4,buy,0.0159,-159.43,0.0,-161.43,expires_worthless
2024-07-25,2024-08-28,3.459,0.1308,0.2887,39.01,3.5961,True,True,2+3,1+1,1,-117.82,305.58,True,2024-07-26 09:45:00,0.0296,0.0296,-0.1025,10007474,3.6,sell,0.0136,136.22,0.0,134.22,expires_worthless,10007475,3.7,sell,0.0042,42.14,0.0,40.14,expires_worthless,10007481,3.4,buy,0.0296,-296.18,430.0,131.22,exercised ETF=3.3570 K=3.4000
2024-08-29,2024-09-25,3.347,0.1195,0.2173,33.79,3.4386,True,True,2+3,1+1,1,-148.92,-154.92,True,2024-08-29 10:40:00,0.0232,0.0232,-0.1303,10006753,3.5,sell,0.0064,63.7,0.0,61.7,expires_worthless,10006754,3.6,sell,0.002,19.6,0.0,17.6,expires_worthless,10006760,3.3,buy,0.0232,-232.22,0.0,-234.22,expires_worthless
2024-09-26,2024-10-23,3.64,0.2328,0.9382,78.43,3.5253,False,False,,1+1,1,-1170.82,-1172.82,True,2024-09-26 10:30:00,0.1171,0.1171,-0.2089,,,,,,,,,,,,,,,,,10007742,3.6,buy,0.1171,-1170.82,0.0,-1172.82,expires_worthless
2024-10-24,2024-11-27,4.011,0.2473,0.3626,60.46,4.4893,True,True,2+3,1+1,1,76.37,199.77,True,2024-10-25 11:30:00,0.0947,0.0947,-0.0475,10008004,4.2,sell,0.0604,603.68,0.0,601.68,expires_worthless,10008005,4.3,sell,0.0419,419.44,0.0,417.44,expires_worthless,10007968,4.0,buy,0.0947,-946.75,130.0,-819.35,exercised ETF=3.9870 K=4.0000
2024-11-28,2024-12-25,3.958,0.2023,0.2619,46.11,4.2712,True,True,2+3,1+1,1,102.93,96.93,True,2024-11-28 09:35:00,0.0523,0.0523,-0.0127,10007253,4.1,sell,0.0393,392.98,0.0,390.98,expires_worthless,10008009,4.2,sell,0.0233,233.24,0.0,231.24,expires_worthless,10007174,3.9,buy,0.0523,-523.29,0.0,-525.29,expires_worthless
2024-12-26,2025-01-22,4.073,0.1879,0.2296,55.57,4.1062,True,True,2+3,1+1,1,143.27,1276.67,True,2024-12-26 09:45:00,0.0484,0.0484,-0.0379,10008415,4.2,sell,0.0404,403.76,0.0,401.76,expires_worthless,10008416,4.3,sell,0.0223,223.44,0.0,221.44,expires_worthless,10008422,4.0,buy,0.0484,-483.93,1140.0,653.47,exercised ETF=3.8860 K=4.0000
2025-01-23,2025-02-26,3.897,0.1699,0.1893,45.01,4.0774,True,True,2+3,1+1,1,400.77,-145.23,True,2025-01-23 09:40:00,0.0327,0.0327,-0.0673,10008594,4.0,sell,0.0466,465.5,-540.0,-76.5,assigned  ETF=4.0540 K=4.0000,10008595,4.1,sell,0.0263,262.64,0.0,260.64,expires_worthless,10008601,3.8,buy,0.0327,-327.37,0.0,-329.37,expires_worthless
2025-02-27,2025-03-26,4.067,0.1566,0.1595,60.16,4.1137,True,True,2+3,1+1,1,17.22,11.22,True,2025-02-27 14:55:00,0.0395,0.0395,-0.1155,10008014,4.2,sell,0.0275,275.38,0.0,273.38,expires_worthless,10008015,4.3,sell,0.0137,137.2,0.0,135.2,expires_worthless,10007970,4.0,buy,0.0395,-395.36,0.0,-397.36,expires_worthless
2025-03-27,2025-04-23,4.027,0.1286,0.0967,49.42,4.1186,True,True,2+3,1+1,1,-295.28,878.12,True,2025-03-27 10:00:00,0.048,0.048,-0.1169,10008954,4.2,sell,0.0125,125.44,0.0,123.44,expires_worthless,10008955,4.3,sell,0.0059,58.8,0.0,56.8,expires_worthless,10008961,4.0,buy,0.048,-479.52,1180.0,697.88,exercised ETF=3.8820 K=4.0000
