feature_name,etf,overall_ic,ic_cv,n_neg_years,jackknife_pass,flips,gate_pass,n_valid
overnight_intraday_decomp_3d,500ETF,0.045773,0.8714,2,True,0,True,3237
position_in_3d_range,500ETF,-0.044573,0.8417,2,True,0,True,3238
body_accumulation_5d,500ETF,-0.024363,2.7749,6,False,3,False,3236
volume_weighted_return_3d,500ETF,-0.012552,4.6274,6,False,3,False,3235
higher_high_streak,500ETF,0.018458,3.2664,4,False,2,False,3240
range_expansion_velocity,500ETF,0.017253,4.6638,5,False,3,False,3237
multi_day_vwap_deviation,500ETF,-0.013116,2.5229,6,False,4,False,3238
dual_thrust_range_ratio_5d,500ETF,0.069404,0.7719,1,True,0,True,3236
close_location_in_range_3d,500ETF,-0.048272,1.0945,2,True,0,True,3238
volume_trend_3d,500ETF,0.010942,4.4947,6,False,3,False,3236
inside_day_count_5d,500ETF,-0.001032,55.9309,6,False,3,False,3236
atr_acceleration_3d,500ETF,0.022441,2.5349,6,False,1,False,3231
consecutive_close_direction,500ETF,-0.016764,3.6577,8,False,4,False,3235
range_position_momentum,500ETF,-0.018542,3.9646,8,False,4,False,3237
open_close_reversal_3d,500ETF,0.024359,2.4098,4,True,1,False,3237
dual_thrust_range_ratio,50ETF,0.032586,1.4568,3,True,1,False,3955
range_compression_3d,50ETF,-0.002996,20.2779,9,False,4,False,3955
return_acceleration_3d,50ETF,0.005868,8.5647,10,False,4,False,3955
volume_price_corr_5d,50ETF,-0.047382,1.2515,3,False,1,False,3955
gap_persistence_3d,50ETF,0.034838,1.3445,3,True,1,False,3955
close_trend_consistency_5d,50ETF,0.008529,5.3568,6,False,2,False,3955
overnight_intraday_decomp_3d,50ETF,0.025698,2.2381,5,True,1,False,3955
position_in_3d_range,50ETF,-0.015325,3.2687,6,False,4,False,3955
body_accumulation_5d,50ETF,-0.019979,2.7381,8,False,3,False,3955
volume_weighted_return_3d,50ETF,-0.009433,4.8323,8,False,4,False,3955
higher_high_streak,50ETF,-0.004158,15.6574,9,False,5,False,3955
range_expansion_velocity,50ETF,0.006124,12.4197,7,False,3,False,3955
multi_day_vwap_deviation,50ETF,0.002523,19.838,7,False,3,False,3955
dual_thrust_range_ratio_5d,50ETF,0.025214,2.1546,7,False,3,False,3955
close_location_in_range_3d,50ETF,-0.038781,1.3624,4,False,2,False,3955
volume_trend_3d,50ETF,-0.013689,4.5985,8,True,1,False,3955
inside_day_count_5d,50ETF,-0.014782,3.7128,4,False,1,False,3955
atr_acceleration_3d,50ETF,0.018808,3.3081,5,False,3,False,3955
consecutive_close_direction,50ETF,0.011709,3.6772,7,False,1,False,3955
range_position_momentum,50ETF,-0.011894,5.1832,10,False,3,False,3955
open_close_reversal_3d,50ETF,0.003035,19.2098,7,False,4,False,3955
dual_thrust_range_ratio,588000ETF,0.070074,0.8732,1,True,1,True,1372
range_compression_3d,588000ETF,0.001047,38.5791,3,False,3,False,1365
return_acceleration_3d,588000ETF,-0.042498,1.5056,3,False,2,False,1369
volume_price_corr_5d,588000ETF,-0.007114,11.3425,1,False,4,False,1374
gap_persistence_3d,588000ETF,0.032056,3.2343,3,False,2,False,1371
close_trend_consistency_5d,588000ETF,0.018668,3.5129,5,False,3,False,1370
overnight_intraday_decomp_3d,588000ETF,0.042178,2.2219,2,False,3,False,1371
position_in_3d_range,588000ETF,-0.020216,3.8351,3,False,3,False,1372
body_accumulation_5d,588000ETF,-0.018638,3.3547,2,False,2,False,1370
volume_weighted_return_3d,588000ETF,0.016366,6.0814,4,False,4,False,1369
higher_high_streak,588000ETF,0.074393,2.2331,3,False,3,False,1374
range_expansion_velocity,588000ETF,-0.025816,4.5961,2,False,3,False,1371
multi_day_vwap_deviation,588000ETF,0.011375,8.139,4,False,4,False,1372
dual_thrust_range_ratio_5d,588000ETF,0.092067,0.9996,2,True,1,True,1370
close_location_in_range_3d,588000ETF,-0.028325,2.7371,2,True,1,True,1372
volume_trend_3d,588000ETF,-0.011233,5.4588,4,False,5,False,1370
inside_day_count_5d,588000ETF,0.019242,3.7158,3,False,2,False,1370
atr_acceleration_3d,588000ETF,-0.002041,25.3877,4,False,4,False,1365
consecutive_close_direction,588000ETF,0.02666,3.2623,4,False,3,False,1369
range_position_momentum,588000ETF,0.018705,6.2203,4,False,4,False,1371
open_close_reversal_3d,588000ETF,-0.007229,11.4427,3,False,4,False,1371
dual_thrust_range_ratio,159915ETF,0.044708,1.4086,5,True,0,False,3542
range_compression_3d,159915ETF,6e-05,717.2101,9,False,4,False,3535
return_acceleration_3d,159915ETF,-0.025573,2.5285,8,False,3,False,3539
volume_price_corr_5d,159915ETF,-0.031573,1.495,4,False,3,False,3544
gap_persistence_3d,159915ETF,0.030901,2.4575,6,False,4,False,3541
close_trend_consistency_5d,159915ETF,-0.030829,2.2078,5,False,1,False,3540
overnight_intraday_decomp_3d,159915ETF,0.028551,2.0715,7,True,1,False,3541
position_in_3d_range,159915ETF,-0.038784,1.5607,4,True,1,False,3542
body_accumulation_5d,159915ETF,-0.032412,1.8662,4,False,2,False,3540
volume_weighted_return_3d,159915ETF,-0.012705,3.6399,5,False,2,False,3539
higher_high_streak,159915ETF,-0.033158,2.8605,6,False,4,False,3544
range_expansion_velocity,159915ETF,-0.010901,5.0071,7,False,3,False,3541
multi_day_vwap_deviation,159915ETF,-0.02409,2.3363,5,False,2,False,3542
dual_thrust_range_ratio_5d,159915ETF,0.050364,1.4867,4,True,1,False,3540
close_location_in_range_3d,159915ETF,-0.048232,1.0577,3,True,0,False,3542
volume_trend_3d,159915ETF,-0.02147,2.8976,6,True,1,False,3540
inside_day_count_5d,159915ETF,0.027909,1.6696,2,True,1,True,3540
atr_acceleration_3d,159915ETF,0.000457,102.9149,8,False,3,False,3535
consecutive_close_direction,159915ETF,-0.022938,2.5289,4,False,2,False,3539
range_position_momentum,159915ETF,-0.039928,1.5611,4,False,2,False,3541
open_close_reversal_3d,159915ETF,-0.021588,2.3761,5,True,1,False,3541
